Date,Open,High,Low,Close,Adj Close,Volume
2000-06-01,19.593750,26.812500,19.562500,21.875000,21.875000,13987700
2000-07-01,22.875000,24.687500,19.375000,22.125000,22.125000,15203300
2000-08-01,21.750000,22.000000,16.250000,17.000000,17.000000,14983900
2000-09-01,17.250000,17.625000,10.125000,10.875000,10.875000,9466400
2000-10-01,11.000000,12.937500,9.187500,10.062500,10.062500,7716000
2000-11-01,9.937500,10.750000,6.500000,6.625000,6.625000,9708800
2000-12-01,6.968750,9.750000,4.000000,5.250000,5.250000,16629900
2001-01-01,5.125000,8.750000,4.750000,7.375000,7.375000,8362300
2001-02-01,7.437500,7.687500,5.500000,6.000000,6.000000,2252400
2001-03-01,5.812500,6.750000,4.593750,5.343750,5.343750,4601000
2001-04-01,5.312500,5.990000,3.937500,5.900000,5.900000,2319000
2001-05-01,5.910000,8.000000,5.600000,7.010000,7.010000,4789200
2001-06-01,6.800000,6.990000,4.250000,4.550000,4.550000,4137700
2001-07-01,4.590000,5.000000,3.040000,3.390000,3.390000,3932100
2001-08-01,3.500000,4.020000,3.250000,3.310000,3.310000,4084400
2001-09-01,3.390000,3.540000,1.650000,1.850000,1.850000,3593300
2001-10-01,1.760000,2.130000,1.120000,1.440000,1.440000,8544000
2001-11-01,1.480000,1.960000,1.300000,1.630000,1.630000,8643100
2001-12-01,1.590000,2.650000,1.540000,2.070000,2.070000,17237300
2002-01-01,2.090000,4.130000,2.010000,3.100000,3.100000,13061300
2002-02-01,3.000000,3.090000,2.000000,2.850000,2.850000,4742500
2002-03-01,2.900000,4.200000,2.790000,4.200000,4.200000,4133400
2002-04-01,4.200000,6.270000,3.270000,3.640000,3.640000,10411300
2002-05-01,3.690000,4.300000,2.810000,2.860000,2.860000,11649500
2002-06-01,2.960000,3.080000,1.580000,2.060000,2.060000,7192100
2002-07-01,2.040000,2.900000,1.670000,1.670000,1.670000,4974800
2002-08-01,1.900000,2.300000,1.760000,1.930000,1.930000,1633800
2002-09-01,1.930000,1.990000,1.130000,1.250000,1.250000,2198500
2002-10-01,1.300000,1.510000,0.890000,1.290000,1.290000,2132700
2002-11-01,1.290000,2.670000,1.290000,2.190000,2.190000,3401300
2002-12-01,2.200000,2.500000,1.310000,1.370000,1.370000,2651600
2003-01-01,1.460000,1.970000,1.200000,1.280000,1.280000,2553900
2003-02-01,1.290000,1.490000,1.100000,1.410000,1.410000,2124200
2003-03-01,1.380000,1.490000,1.190000,1.270000,1.270000,4052000
2003-04-01,1.310000,1.390000,0.950000,1.360000,1.360000,18120200
2003-05-01,1.410000,2.850000,1.310000,2.710000,2.710000,12564700
2003-06-01,2.710000,2.950000,2.090000,2.700000,2.700000,8734200
2003-07-01,2.700000,3.600000,2.350000,2.920000,2.920000,10818300
2003-08-01,2.810000,4.850000,2.720000,4.790000,4.790000,7590500
2003-09-01,4.980000,6.390000,3.730000,4.000000,4.000000,51598600
2003-10-01,4.200000,5.100000,4.000000,4.300000,4.300000,42701700
2003-11-01,4.310000,6.730000,4.220000,6.570000,6.570000,46670100
2003-12-01,6.660000,7.490000,5.530000,6.480000,6.480000,45265600
2004-01-01,6.570000,8.560000,6.000000,7.000000,7.000000,49619300
2004-02-01,7.000000,8.700000,6.800000,8.470000,8.470000,85282100
2004-03-01,8.580000,9.050000,6.840000,7.550000,7.550000,72132100
2004-04-01,7.630000,7.910000,4.510000,4.840000,4.840000,118072100
2004-05-01,4.970000,5.870000,4.750000,5.790000,5.790000,78855000
2004-06-01,5.760000,5.800000,4.760000,5.020000,5.020000,53989500
2004-07-01,4.950000,4.950000,3.180000,4.000000,4.000000,107134300
2004-08-01,3.810000,4.000000,2.910000,2.980000,2.980000,58409400
2004-09-01,2.980000,3.400000,2.490000,3.130000,3.130000,57130800
2004-10-01,3.180000,3.760000,3.010000,3.600000,3.600000,37104600
2004-11-01,3.620000,4.330000,3.400000,3.650000,3.650000,36327400
2004-12-01,3.660000,4.660000,3.630000,4.540000,4.540000,56153500
2005-01-01,4.600000,4.640000,3.260000,3.660000,3.660000,30872000
2005-02-01,3.720000,5.040000,3.500000,4.540000,4.540000,41569600
2005-03-01,4.750000,4.840000,3.770000,3.950000,3.950000,32273500
2005-04-01,3.980000,4.040000,2.880000,3.440000,3.440000,34701600
2005-05-01,3.450000,4.510000,3.200000,4.470000,4.470000,39445100
2005-06-01,4.460000,5.320000,4.340000,4.600000,4.600000,38435100
2005-07-01,4.580000,5.940000,4.340000,5.730000,5.730000,54451600
2005-08-01,5.750000,5.930000,5.200000,5.750000,5.750000,39383700
